,time,comp_angle,gyro_angle,accel_angle,control,frequency
0,1622659204.1640234,0,0,0,-50.0,182
1,1622659204.169672,0,0,0,-50.0,174
2,1622659204.175318,0,0,0,-50.0,177
3,1622659204.1810038,0,0,0,-50.0,176
4,1622659204.1865914,0,0,0,-50.0,175
5,1622659204.192222,0,0,0,-50.0,178
6,1622659204.1978106,0,0,0,-50.0,177
7,1622659204.2034678,0,0,0,-50.0,179
8,1622659204.2091208,0,0,0,-50.0,176
9,1622659204.2147057,0,0,0,-50.0,177
10,1622659204.2205272,0,0,0,-50.0,179
11,1622659204.226163,0,0,0,-50.0,169
12,1622659204.2317462,0,0,0,-50.0,179
13,1622659204.2372816,0,0,0,-50.0,179
14,1622659204.2427332,0,0,0,-50.0,180
15,1622659204.2481627,0,0,0,-50.0,183
16,1622659204.2537038,0,0,0,-50.0,184
17,1622659204.2591665,0,0,0,-50.0,180
18,1622659204.2650058,0,0,0,-50.0,183
19,1622659204.2706172,0,0,0,-50.0,171
20,1622659204.2762754,0,0,0,-50.0,178
21,1622659204.29753,0,0,0,-50.0,65
22,1622659204.3033001,0,0,0,-50.0,85
23,1622659204.3960404,0,0,0,-50.0,11
24,1622659204.403328,0,0,0,-50.0,113
25,1622659204.4088976,0,0,0,-50.0,141
26,1622659204.414513,0,0,0,-50.0,179
27,1622659204.420045,0,0,0,-50.0,178
28,1622659204.4256158,0,0,0,-50.0,180
29,1622659204.4312568,0,0,0,-50.0,179
30,1622659204.4368138,0,0,0,-50.0,177
31,1622659204.4423645,0,0,0,-50.0,180
32,1622659204.4478505,0,0,0,-50.0,180
33,1622659204.4533815,0,0,0,-50.0,182
34,1622659204.458886,0,0,0,-50.0,180
35,1622659204.464383,0,0,0,-50.0,181
36,1622659204.470013,0,0,0,-50.0,181
37,1622659204.4756584,0,0,0,-50.0,177
38,1622659204.4813159,0,0,0,-50.0,177
39,1622659204.4868975,0,0,0,-50.0,176
40,1622659204.492453,0,0,0,-50.0,179
41,1622659204.4980423,0,0,0,-50.0,180
42,1622659204.5035832,0,0,0,-50.0,178
43,1622659204.5090866,0,0,0,-50.0,180
44,1622659204.5147,0,0,0,-50.0,181
45,1622659204.5203211,0,0,0,-50.0,176
46,1622659204.5259085,0,0,0,-50.0,179
47,1622659204.5315182,0,0,0,-50.0,178
48,1622659204.5370445,0,0,0,-50.0,178
49,1622659204.5425434,0,0,0,-50.0,181
50,1622659204.5480843,0,0,0,-50.0,181
51,1622659204.553564,0,0,0,-50.0,180
52,1622659204.5591154,0,0,0,-50.0,180
53,1622659204.5646794,0,0,0,-50.0,181
54,1622659204.5701642,0,0,0,-50.0,179
55,1622659204.5758178,0,0,0,-50.0,182
56,1622659204.5813797,0,0,0,-50.0,176
57,1622659204.5868957,0,0,0,-50.0,179
58,1622659204.5924418,0,0,0,-50.0,181
59,1622659204.5980475,0,0,0,-50.0,178
60,1622659204.6036425,0,0,0,-50.0,179
61,1622659204.609223,0,0,0,-50.0,178
62,1622659204.6147294,0,0,0,-50.0,179
63,1622659204.62022,0,0,0,-50.0,181
64,1622659204.625767,0,0,0,-50.0,182
65,1622659204.6313248,0,0,0,-50.0,180
66,1622659204.6369252,0,0,0,-50.0,178
67,1622659204.6425042,0,0,0,-50.0,180
68,1622659204.647998,0,0,0,-50.0,179
69,1622659204.653515,0,0,0,-50.0,182
70,1622659204.6589704,0,0,0,-50.0,181
71,1622659204.6645236,0,0,0,-50.0,183
72,1622659204.6699944,0,0,0,-50.0,179
73,1622659204.6755784,0,0,0,-50.0,182
74,1622659204.681304,0,0,0,-50.0,177
75,1622659204.686844,0,0,0,-50.0,176
76,1622659204.6923983,0,0,0,-50.0,180
77,1622659204.6979017,0,0,0,-50.0,180
78,1622659204.7034094,0,0,0,-50.0,181
79,1622659204.7089565,0,0,0,-50.0,181
80,1622659204.714525,0,0,0,-50.0,180
81,1622659204.7200775,0,0,0,-50.0,179
82,1622659204.725649,0,0,0,-50.0,180
83,1622659204.7312264,0,0,0,-50.0,179
84,1622659204.7367063,0,0,0,-50.0,179
85,1622659204.742266,0,0,0,-50.0,182
86,1622659204.7477689,0,0,0,-50.0,179
87,1622659204.753267,0,0,0,-50.0,181
88,1622659204.7588527,0,0,0,-50.0,180
89,1622659204.7643614,0,0,0,-50.0,180
90,1622659204.7698488,0,0,0,-50.0,181
91,1622659204.7753725,0,0,0,-50.0,182
92,1622659204.780961,0,0,0,-50.0,180
93,1622659204.7865388,0,0,0,-50.0,178
94,1622659204.7921338,0,0,0,-50.0,179
95,1622659204.797737,0,0,0,-50.0,177
96,1622659204.8033202,0,0,0,-50.0,179
97,1622659204.8088233,0,0,0,-50.0,179
98,1622659204.8143728,0,0,0,-50.0,181
99,1622659204.8198667,0,0,0,-50.0,180
100,1622659204.8253787,0,0,0,-50.0,182
101,1622659204.8309925,0,0,0,-50.0,181
102,1622659204.836621,0,0,0,-50.0,176
103,1622659204.842206,0,0,0,-50.0,179
104,1622659204.8477454,0,0,0,-50.0,179
105,1622659204.8532197,0,0,0,-50.0,180
106,1622659204.8587086,0,0,0,-50.0,182
107,1622659204.8642144,0,0,0,-50.0,182
108,1622659204.8697128,0,0,0,-50.0,181
109,1622659204.875263,0,0,0,-50.0,182
110,1622659204.8809676,0,0,0,-50.0,178
111,1622659204.8865225,0,0,0,-50.0,176
112,1622659204.892145,0,0,0,-50.0,180
113,1622659204.8977365,0,0,0,-50.0,177
114,1622659204.9033678,0,0,0,-50.0,178
115,1622659204.9089768,0,0,0,-50.0,176
116,1622659204.9145555,0,0,0,-50.0,179
117,1622659204.920132,0,0,0,-50.0,179
118,1622659204.9257784,0,0,0,-50.0,179
119,1622659204.93139,0,0,0,-50.0,177
120,1622659204.9369934,0,0,0,-50.0,176
121,1622659204.9425824,0,0,0,-50.0,179
122,1622659204.948152,0,0,0,-50.0,178
123,1622659204.953664,0,0,0,-50.0,179
124,1622659204.95918,0,0,0,-50.0,181
125,1622659204.964688,0,0,0,-50.0,181
126,1622659204.970214,0,0,0,-50.0,181
127,1622659204.9757044,0,0,0,-50.0,181
128,1622659204.9813788,0,0,0,-50.0,180
129,1622659204.9869337,0,0,0,-50.0,177
130,1622659204.992594,0,0,0,-50.0,180
131,1622659204.9981432,0,0,0,-50.0,176
132,1622659205.003666,0,0,0,-50.0,180
133,1622659205.009188,0,0,0,-50.0,181
134,1622659205.0148582,0,0,0,-50.0,181
135,1622659205.020423,0,0,0,-50.0,176
136,1622659205.0260556,0,0,0,-50.0,179
137,1622659205.0316088,0,0,0,-50.0,177
138,1622659205.0371253,0,0,0,-50.0,180
139,1622659205.0427065,0,0,0,-50.0,181
140,1622659205.048317,0,0,0,-50.0,177
141,1622659205.0539513,0,0,0,-50.0,179
142,1622659205.0594614,0,0,0,-50.0,177
143,1622659205.064932,0,0,0,-50.0,181
144,1622659205.0703979,0,0,0,-50.0,182
145,1622659205.0759282,0,0,0,-50.0,182
146,1622659205.0815291,0,0,0,-50.0,180
147,1622659205.0871885,0,0,0,-50.0,176
148,1622659205.0927837,0,0,0,-50.0,178
149,1622659205.0983648,0,0,0,-50.0,178
150,1622659205.1039362,0,0,0,-50.0,179
151,1622659205.1094553,0,0,0,-50.0,179
152,1622659205.1150477,0,0,0,-50.0,181
153,1622659205.1206455,0,0,0,-50.0,177
154,1622659205.1262083,0,0,0,-50.0,180
155,1622659205.1317382,0,0,0,-50.0,179
156,1622659205.1372185,0,0,0,-50.0,180
157,1622659205.1427333,0,0,0,-50.0,182
158,1622659205.148218,0,0,0,-50.0,181
159,1622659205.1537406,0,0,0,-50.0,182
160,1622659205.1592453,0,0,0,-50.0,181
161,1622659205.164801,0,0,0,-50.0,181
162,1622659205.1703086,0,0,0,-50.0,179
163,1622659205.175864,0,0,0,-50.0,181
164,1622659205.1813228,0,0,0,-50.0,179
165,1622659205.1868804,0,0,0,-50.0,183
166,1622659205.19243,0,0,0,-50.0,179
167,1622659205.1979406,0,0,0,-50.0,180
168,1622659205.2035377,0,0,0,-50.0,181
169,1622659205.2091625,0,0,0,-50.0,177
170,1622659205.214736,0,0,0,-50.0,179
171,1622659205.2203155,0,0,0,-50.0,179
172,1622659205.2258358,0,0,0,-50.0,179
173,1622659205.23138,0,0,0,-50.0,181
174,1622659205.2368848,0,0,0,-50.0,180
175,1622659205.2424,0,0,0,-50.0,181
176,1622659205.2479396,0,0,0,-50.0,181
177,1622659205.2534974,0,0,0,-50.0,180
178,1622659205.2590208,0,0,0,-50.0,179
179,1622659205.2645407,0,0,0,-50.0,181
180,1622659205.270033,0,0,0,-50.0,181
181,1622659205.275609,0,0,0,-50.0,182
182,1622659205.2811742,0,0,0,-50.0,179
183,1622659205.3019881,0,0,0,-50.0,136
184,1622659205.308844,0,0,0,-50.0,52
185,1622659205.4185386,0,0,0,-50.0,9
186,1622659205.424195,0,0,0,-50.0,99
187,1622659205.4300606,0,0,0,-50.0,167
188,1622659205.4358912,0,0,0,-50.0,172
189,1622659205.4417284,0,0,0,-50.0,171
190,1622659205.447518,0,0,0,-50.0,171
191,1622659205.4532874,0,0,0,-50.0,173
192,1622659205.4590662,0,0,0,-50.0,173
193,1622659205.4648707,0,0,0,-50.0,173
194,1622659205.470725,0,0,0,-50.0,170
195,1622659205.4767263,0,0,0,-50.0,169
196,1622659205.4825635,0,0,0,-50.0,171
197,1622659205.4882221,0,0,0,-50.0,171
198,1622659205.4940476,0,0,0,-50.0,176
199,1622659205.49991,0,0,0,-50.0,169
200,1622659205.5058227,0,0,0,-50.0,168
201,1622659205.5117047,0,0,0,-50.0,168
202,1622659205.5175111,0,0,0,-50.0,171
203,1622659205.523315,0,0,0,-50.0,172
204,1622659205.5291274,0,0,0,-50.0,171
205,1622659205.5350301,0,0,0,-50.0,172
206,1622659205.541082,0,0,0,-50.0,168
207,1622659205.5470386,0,0,0,-50.0,165
208,1622659205.5528958,0,0,0,-50.0,168
209,1622659205.5588586,0,0,0,-50.0,167
210,1622659205.5647552,0,0,0,-50.0,171
211,1622659205.5705652,0,0,0,-50.0,168
212,1622659205.5763545,0,0,0,-50.0,174
213,1622659205.5820503,0,0,0,-50.0,173
214,1622659205.587719,0,0,0,-50.0,175
215,1622659205.5934439,0,0,0,-50.0,177
216,1622659205.5991604,0,0,0,-50.0,173
217,1622659205.6049669,0,0,0,-50.0,172
218,1622659205.6108127,0,0,0,-50.0,171
219,1622659205.6167169,0,0,0,-50.0,169
220,1622659205.6225638,0,0,0,-50.0,171
221,1622659205.6283777,0,0,0,-50.0,179
222,1622659205.634154,0,0,0,-50.0,164
223,1622659205.6399572,0,0,0,-50.0,172
224,1622659205.6460526,0,0,0,-50.0,181
225,1622659205.6516128,0,0,0,-50.0,163
226,1622659205.6574209,0,0,0,-50.0,171
227,1622659205.663206,0,0,0,-50.0,172
228,1622659205.6689808,0,0,0,-50.0,172
229,1622659205.674783,0,0,0,-50.0,173
230,1622659205.6804814,0,0,0,-50.0,174
231,1622659205.6863544,0,0,0,-50.0,175
232,1622659205.691849,0,0,0,-50.0,175
233,1622659205.6975071,0,0,0,-50.0,176
234,1622659205.7032769,0,0,0,-50.0,176
235,1622659205.7091272,0,0,0,-50.0,170
236,1622659205.714957,0,0,0,-50.0,171
